2023-08-08 16:06:42.2199|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. |url: |action: |
2023-08-08 16:06:42.2199|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending HEADERS frame for stream ID 9 with length 84 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-08-08 16:06:42.2199|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending HEADERS frame for stream ID 5 with length 25 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-08-08 16:06:42.2199|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending HEADERS frame for stream ID 3 with length 34 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger/swagger-ui.css|action: |
2023-08-08 16:06:42.3109|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending HEADERS frame for stream ID 11 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |
2023-08-08 16:06:42.3109|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 9986 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3109|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3109|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3109|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-08-08 16:06:42.3125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
