2023-08-19 00:10:53.9903|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9903|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9903|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending HEADERS frame for stream ID 13 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |
2023-08-19 00:10:53.9903|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 13 with length 9986 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 867 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:54.0063|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
