2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT1IEJI3QUG" sending HEADERS frame for stream ID 31 with length 6 and flags END_HEADERS. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT1IEJI3QUG" sending DATA frame for stream ID 31 with length 337 and flags NONE. |url: |action: |
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Resource Filter: Before executing OnResourceExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Resource Filter: After executing OnResourceExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter. |url: https://localhost/login/verify|action: GetAuth|
2023-08-21 00:01:39.9108|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT1IEJI3QUG" sending DATA frame for stream ID 31 with length 0 and flags END_STREAM. |url: |action: |
2023-08-21 00:01:39.9166|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT1IEJI3QUG" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-21 00:04:26.3755|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT1IEJI3QUG" received HEADERS frame for stream ID 33 with length 41 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-21 00:04:26.3755|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT1IEJI3QUG" received PING frame for stream ID 0 with length 8 and flags NONE. |url: |action: |
2023-08-21 00:04:26.3755|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT1IEJI3QUG" sending PING frame for stream ID 0 with length 8 and flags ACK. |url: |action: |
2023-08-21 00:04:26.3755|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/login/verify|action: |
